a_x,a_y,a_z,roll,pitch,yaw,timestamp,temp
-0.00,0.00,1.00,-0.03,0.09,0.08,9221,22.31
-0.00,0.00,1.00,-0.04,0.09,0.07,9224,22.31
-0.00,0.00,1.00,0.02,0.04,0.02,9228,22.31
-0.00,0.00,1.00,0.05,0.03,0.01,9232,22.33
-0.00,0.00,1.00,0.08,0.03,-0.04,9235,22.33
-0.00,0.00,1.00,0.06,0.03,-0.05,9239,22.33
-0.00,0.00,1.00,0.02,0.01,-0.08,9243,22.29
-0.00,0.00,1.00,-0.01,-0.02,-0.05,9246,22.29
-0.00,0.00,1.00,-0.09,-0.08,0.01,9250,22.29
-0.00,0.00,1.00,-0.12,-0.11,0.04,9254,22.29
0.00,0.00,1.00,-0.12,-0.17,0.07,9257,22.29
0.00,0.00,1.00,-0.09,-0.21,0.07,9262,22.29
0.00,0.00,1.00,-0.03,-0.21,0.05,9266,22.26
0.00,0.00,1.00,-0.01,-0.18,0.04,9269,22.26
0.00,0.00,1.00,0.00,-0.12,0.02,9273,22.31
0.00,0.00,1.00,0.00,-0.09,0.02,9277,22.31
0.00,-0.00,1.00,0.02,-0.08,0.05,9280,22.31
-0.00,-0.00,1.00,0.02,-0.08,0.07,9284,22.28
-0.00,0.00,1.00,0.00,-0.05,0.07,9288,22.28
-0.00,0.00,1.00,0.02,-0.06,0.05,9291,22.28
-0.00,0.00,1.00,0.06,-0.09,-0.01,9295,22.27
-0.00,0.00,1.00,0.08,-0.09,-0.04,9299,22.27
-0.00,0.00,1.00,0.11,-0.09,-0.02,9303,22.27
-0.00,0.00,1.00,0.09,-0.06,0.01,9307,22.29
-0.00,0.00,1.00,0.05,-0.00,0.04,9311,22.29
-0.00,0.00,1.00,0.02,0.03,0.02,9314,22.29
-0.00,0.00,1.00,-0.01,0.01,-0.01,9318,22.27
-0.00,-0.00,1.00,-0.01,-0.03,-0.01,9322,22.27
-0.00,-0.00,1.00,0.00,-0.11,0.01,9325,22.27
0.00,0.00,1.00,0.00,-0.26,0.05,9329,22.30
0.00,0.00,1.00,-0.01,-0.31,0.07,9333,22.30
0.00,-0.00,1.00,-0.06,-0.25,0.07,9336,22.30
