a_x,a_y,a_z,roll,pitch,yaw,timestamp,temp
0.00,0.00,1.00,0.09,-0.05,-0.02,9065,22.84
0.00,-0.00,1.00,0.12,-0.05,-0.05,9069,22.84
0.00,-0.00,1.00,0.11,-0.03,-0.05,9073,22.80
0.00,-0.00,1.00,0.06,-0.00,-0.05,9076,22.80
0.00,-0.00,1.00,0.03,-0.00,-0.05,9080,22.80
-0.00,0.00,1.00,0.02,-0.00,-0.00,9084,22.84
0.00,0.00,1.00,0.02,0.01,0.01,9088,22.84
0.00,0.00,1.00,0.02,0.04,0.03,9092,22.84
0.00,0.00,1.00,0.02,0.06,0.03,9096,22.80
-0.00,-0.00,1.00,0.00,0.06,0.01,9099,22.80
-0.00,-0.00,1.00,-0.01,0.06,-0.00,9103,22.80
-0.00,0.00,1.00,-0.06,0.07,0.01,9107,22.80
0.00,0.00,1.00,-0.04,0.06,0.05,9110,22.80
-0.00,-0.00,1.00,-0.03,0.01,0.12,9114,22.80
0.00,-0.00,1.00,-0.03,-0.02,0.12,9118,22.82
0.00,-0.00,1.00,-0.04,-0.07,0.08,9121,22.82
0.00,-0.00,1.00,-0.04,-0.07,0.06,9125,22.82
0.00,-0.00,1.00,-0.01,-0.05,0.06,9129,22.81
0.00,-0.00,1.00,0.02,-0.05,0.08,9133,22.81
0.00,-0.00,1.00,0.08,-0.03,0.09,9137,22.81
-0.00,-0.00,1.00,0.09,-0.02,0.08,9141,22.86
0.00,-0.00,1.00,0.05,0.04,0.01,9144,22.86
0.00,-0.00,1.00,0.02,0.07,-0.02,9148,22.86
0.00,-0.00,1.00,-0.06,0.12,-0.02,9152,22.84
0.00,-0.00,1.00,-0.07,0.12,-0.00,9155,22.84
0.00,-0.00,1.00,-0.06,0.09,0.01,9159,22.84
0.00,-0.00,1.00,-0.06,0.06,0.01,9163,22.82
-0.00,-0.00,1.00,-0.04,0.03,0.03,9166,22.82
-0.00,-0.00,1.00,-0.03,-0.02,0.08,9170,22.82
-0.00,0.00,1.00,0.00,-0.05,0.03,9175,22.84
0.00,0.00,1.00,0.00,-0.03,-0.00,9178,22.84
0.00,0.00,1.00,0.00,-0.02,-0.03,9182,22.84
0.00,0.00,1.00,0.02,0.03,-0.08,9186,22.80
0.00,0.00,1.00,0.03,0.03,-0.09,9189,22.80
-0.00,-0.00,1.00,0.03,0.03,-0.08,9193,22.80
-0.00,-0.00,1.00,0.02,0.03,-0.06,9197,22.82
-0.00,-0.00,1.00,-0.01,0.03,-0.03,9200,22.82
-0.00,-0.00,1.00,-0.03,0.03,-0.02,9204,22.82
-0.00,-0.00,1.00,-0.07,0.01,-0.03,9208,22.82
0.00,-0.00,1.00,-0.09,-0.00,-0.03,9212,22.82
0.00,-0.00,1.00,-0.07,-0.00,-0.02,9217,22.82
0.00,-0.00,1.00,-0.01,-0.00,0.06,9220,22.78
0.00,-0.00,1.00,-0.01,-0.00,0.08,9224,22.78
0.00,-0.00,1.00,-0.04,0.04,0.09,9228,22.78
-0.00,-0.00,1.00,-0.06,0.06,0.08,9231,22.85
-0.00,-0.00,1.00,-0.04,0.03,0.05,9235,22.85
0.00,-0.00,1.00,0.00,-0.00,0.01,9239,22.85
0.00,0.00,1.00,0.05,-0.00,0.01,9243,22.84
0.00,0.00,1.00,0.05,0.01,0.01,9246,22.84
0.00,0.00,1.00,0.02,0.06,0.05,9250,22.84
0.00,0.00,1.00,0.00,0.06,0.05,9254,22.85
-0.00,0.00,1.00,-0.01,0.09,0.03,9257,22.85
-0.00,0.00,1.00,-0.01,0.09,0.05,9262,22.85
-0.00,0.00,1.00,0.02,0.12,0.05,9266,22.82
-0.00,-0.00,1.00,0.03,0.10,0.03,9269,22.82
-0.00,-0.00,1.00,0.03,0.04,-0.00,9273,22.82
-0.00,-0.00,1.00,0.03,-0.00,-0.02,9276,22.87
-0.00,-0.00,1.00,0.03,-0.02,-0.03,9280,22.87
-0.00,-0.00,1.00,0.05,-0.00,-0.03,9284,22.87
-0.00,-0.00,1.00,0.09,0.04,0.01,9287,22.82
-0.00,-0.00,1.00,0.11,0.06,0.05,9291,22.82
-0.00,-0.00,1.00,0.11,0.07,0.08,9295,22.80
0.00,0.00,1.00,0.06,0.07,0.08,9298,22.80
0.00,0.00,1.00,0.05,0.06,0.08,9303,22.80
