X,Y,Z,Timestamp
-384,259,21,6988
-363,416,58,6996
-385,339,-62,7005
-360,398,-35,7013
-318,366,-81,7020
-312,418,-20,7028
-377,388,66,7036
-338,460,-125,7045
-334,484,-10,7052
-376,411,-128,7060
-371,385,12,7068
-392,421,-106,7076
-400,405,97,7084
-384,379,-26,7092
-316,452,24,7100
-308,429,95,7108
-373,403,-124,7116
-333,373,-14,7123
-382,395,75,7132
-276,417,-50,7140
-406,430,-21,7148
-380,379,-81,7155
-340,399,-121,7163
-287,422,-14,7172
-373,427,11,7180
-409,387,67,7187
-385,348,-61,7195
-253,413,13,7203
-419,396,-59,7211
-327,323,-15,7219
-336,427,-89,7227
-331,334,35,7235
-369,368,57,7242
-330,411,7,7250
-382,457,-25,7259
-411,365,91,7267
-292,439,-42,7274
-297,387,-43,7282
-305,373,-18,7290
-403,354,37,7299
-421,355,14,7306
-284,335,-21,7314
-328,391,-38,7322
-404,440,40,7330
-438,381,-27,7339
-324,484,-43,7346
-351,379,32,7354
-383,488,-77,7362
-318,432,-52,7369
-410,421,-12,7377
-375,479,-52,7386
-406,428,13,7394
-377,387,5,7401
-433,394,-19,7409
-329,442,79,7417
-406,437,-70,7426
-293,404,94,7433
-336,384,54,7441
-407,346,162,7449
-380,388,-121,7457
-368,454,3,7464
-322,404,69,7473
-445,377,-89,7481
-339,443,-37,7489
-369,415,-19,7496
-334,404,-5,7504
-380,373,9,7513
-451,320,98,7521
-403,395,67,7528
-435,428,7,7536
-423,473,26,7544
-329,412,-47,7553
-321,362,58,7561
-359,415,-1,7568
-353,465,12,7576
-374,424,-20,7584
-439,362,-62,7591
-424,422,-80,7600
-355,308,-49,7608
-337,467,-110,7616
-420,346,129,7623
-398,460,55,7631
-334,399,-17,7640
-403,464,-3,7648
-413,417,43,7655
-379,366,-62,7663
-321,405,40,7671
-347,483,-93,7680
-468,365,15,7687
-429,448,-79,7695
-407,364,-79,7703
-384,494,-52,7711
-298,412,-129,7718
-373,386,-114,7727
-417,380,-99,7735
-420,270,-89,7743
-387,374,37,7750
-381,472,-35,7758
-271,365,79,7767
-376,462,90,7775
-369,324,133,7783
-372,438,82,7790
-364,444,94,7798
-365,409,-58,7806
-373,404,60,7814
-349,391,-52,7822
-328,458,-83,7830
-353,473,70,7838
-308,421,33,7845
-403,400,-101,7854
-373,388,-185,7862
-349,410,-175,7870
-375,346,-80,7877
-333,358,-34,7885
-410,384,-77,7894
-368,350,-46,7902
-380,404,83,7909
-347,397,2,7917
-374,477,48,7925
-404,431,64,7933
-311,449,-4,7941
-387,458,-12,7949
-414,470,-7,7957
-277,370,85,7965
-356,389,221,7973
-355,365,-60,7981
-292,431,88,7989
-307,340,-17,7997
-419,376,-8,8004
-390,392,24,8012
-391,371,-63,8020
-350,321,-59,8029
-305,417,-117,8036
-367,357,-43,8044
-326,401,-181,8052
-294,442,-220,8060
-423,377,-15,8068
-346,398,-93,8076
-397,463,-60,8084
-378,377,25,8092
-355,427,-2,8099
-440,421,129,8108
-371,372,0,8116
-388,382,78,8124
-360,328,39,8131
-316,434,71,8139
-404,483,96,8147
-408,408,61,8156
-364,438,-4,8163
-339,415,-12,8171
